Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
-7,81,11,55,overcast,987.24,1,Winter,3,mountain,Snowy
16,102,20,107,overcast,1007.48,9,Winter,2,mountain,Rainy
35,62,1,6,clear,1025,10,Spring,5.5,coastal,Sunny
41,74,10,20,cloudy,841.45,1,Spring,16,mountain,Rainy
16,69,9.5,79,overcast,991.96,1,Summer,1.5,coastal,Rainy
23,78,13.5,12,partly cloudy,1006.08,2,Autumn,5,inland,Cloudy
32,39,0,13,clear,1010.58,8,Winter,7.5,mountain,Sunny
23,63,13.5,70,partly cloudy,990.68,0,Winter,4.5,inland,Rainy
-4,96,15.5,82,partly cloudy,980.68,1,Winter,4.5,mountain,Snowy
16,109,39,87,partly cloudy,1011.38,11,Spring,2,inland,Rainy
31,70,14.5,20,partly cloudy,1017.94,4,Summer,8.5,inland,Cloudy
-9,72,7.5,81,overcast,996.77,1,Winter,3,inland,Snowy
-2,91,2.5,71,overcast,998.55,1,Winter,5,mountain,Snowy
7,27,13,33,overcast,818.97,8,Summer,17.5,mountain,Sunny
14,75,7,97,overcast,1017.34,3,Autumn,3,coastal,Rainy
-16,77,2.5,10,partly cloudy,874.04,6,Summer,16,coastal,Snowy
43,24,10,16,clear,1027.72,5,Summer,8.5,mountain,Sunny
2,82,7,98,overcast,996.01,0,Winter,1.5,inland,Snowy
17,66,18.5,98,overcast,1013.12,1,Spring,4,coastal,Rainy
11,74,13.5,35,overcast,1005.99,1,Winter,8,inland,Cloudy
11,67,7,22,overcast,1003.46,1,Autumn,9,coastal,Cloudy
4,97,18,55,overcast,999.61,1,Winter,3,inland,Snowy
21,97,13.5,77,overcast,1018.85,3,Spring,2.5,mountain,Rainy
43,46,6.5,17,partly cloudy,1026.19,8,Summer,8,coastal,Sunny
20,66,11,52,partly cloudy,1019.78,3,Spring,4.5,mountain,Rainy
0,82,7,72,overcast,987.27,1,Winter,1.5,inland,Snowy
31,73,15,76,partly cloudy,1005.24,10,Spring,2,coastal,Rainy
40,35,2.5,1,clear,1026.61,5,Winter,8,coastal,Sunny
23,32,0.5,14,clear,1010.25,9,Spring,9,inland,Sunny
31,62,8,97,overcast,1003.98,3,Spring,4.5,coastal,Rainy
19,62,19,66,partly cloudy,1005.69,1,Spring,1,mountain,Rainy
24,34,10.5,30,partly cloudy,967.99,7,Spring,13,coastal,Snowy
56,74,30.5,109,partly cloudy,1008.81,14,Autumn,1.5,mountain,Rainy
10,73,17.5,66,overcast,1009.7,0,Autumn,4,mountain,Rainy
31,79,8,29,partly cloudy,1019.5,1,Spring,9,mountain,Cloudy
42,27,8,16,partly cloudy,1022.78,10,Summer,10,inland,Sunny
-8,88,12,80,overcast,993.19,1,Winter,4.5,inland,Snowy
1,92,1,90,overcast,987.02,1,Winter,4.5,inland,Snowy
15,64,6.5,21,overcast,1003.55,4,Winter,6,coastal,Cloudy
16,66,9,23,partly cloudy,1016.22,2,Summer,6.5,inland,Cloudy
-9,72,1,103,partly cloudy,998.72,2,Winter,2,inland,Snowy
47,31,9,66,overcast,817.51,4,Summer,0.5,mountain,Cloudy
22,91,7.5,56,overcast,1009.16,1,Winter,2,coastal,Rainy
22,40,1.5,37,partly cloudy,1143.19,1,Summer,14,inland,Cloudy
-2,82,18.5,64,overcast,982.39,0,Winter,1.5,mountain,Snowy
24,61,14.5,31,partly cloudy,1008.44,3,Winter,6,mountain,Cloudy
29,63,0,16,clear,1017.29,5,Spring,8,coastal,Sunny
19,73,7,89,overcast,1016.18,2,Summer,1,mountain,Rainy
52,90,10.5,103,overcast,1011.17,12,Autumn,6,inland,Cloudy
25,62,8,56,partly cloudy,1013.11,1,Spring,3,mountain,Rainy
18,84,8,69,overcast,1005.98,2,Spring,4,mountain,Rainy
10,75,11.5,13,overcast,1018.93,2,Spring,8.5,mountain,Cloudy
31,64,9,52,partly cloudy,1004.08,2,Autumn,4,inland,Rainy
19,72,11.5,38,partly cloudy,1008.95,3,Spring,7,mountain,Cloudy
-3,70,6,93,overcast,984.01,1,Winter,3,inland,Snowy
39,54,1,12,partly cloudy,1018.49,7,Summer,7.5,coastal,Sunny
30,62,10.5,93,overcast,1003.56,2,Autumn,3,inland,Rainy
33,59,1,44,partly cloudy,1013.64,1,Autumn,8,mountain,Cloudy
36,105,14.5,80,partly cloudy,1008.34,4,Spring,7.5,inland,Cloudy
33,71,4.5,47,partly cloudy,1007.86,1,Summer,5,coastal,Cloudy
11,77,34.5,75,partly cloudy,1012.22,10,Spring,6.5,inland,Cloudy
-5,90,19.5,87,overcast,983.95,1,Winter,4.5,mountain,Snowy
24,84,14.5,55,partly cloudy,1000.69,3,Winter,1.5,mountain,Rainy
20,57,11.5,29,overcast,1014.14,1,Spring,7.5,coastal,Cloudy
47,73,28,97,partly cloudy,1009.45,8,Autumn,1.5,mountain,Rainy
13,109,45,73,overcast,992.31,2,Autumn,3,mountain,Rainy
23,58,4,41,overcast,1005.03,1,Summer,8.5,coastal,Cloudy
44,39,7,17,clear,1020.98,7,Spring,7.5,coastal,Sunny
42,39,7,4,partly cloudy,1013.85,11,Spring,7,coastal,Sunny
2,73,6,58,overcast,985.32,0,Winter,2.5,mountain,Snowy
-1,62,15,72,overcast,984.87,1,Winter,3.5,inland,Snowy
3,64,1,53,overcast,990.51,1,Winter,3,inland,Snowy
12,71,4,13,partly cloudy,1016.43,4,Winter,6,mountain,Cloudy
0,63,3.5,87,overcast,996.26,0,Winter,1.5,inland,Snowy
-3,99,17.5,65,overcast,991.36,1,Winter,1,inland,Snowy
2,91,25,91,partly cloudy,989.58,13,Winter,0.5,mountain,Snowy
23,55,6.5,11,clear,1024.61,9,Autumn,7,inland,Sunny
-15,74,15.5,91,overcast,980.75,5,Winter,5,mountain,Snowy
44,40,0.5,16,clear,1020.24,11,Spring,9.5,inland,Sunny
21,55,6,19,overcast,1017.92,1,Winter,5.5,coastal,Cloudy
-12,84,23,100,overcast,996.59,0,Winter,6.5,inland,Snowy
-2,90,4.5,92,overcast,989.3,0,Winter,4,inland,Snowy
13,71,13,48,partly cloudy,1002.48,2,Autumn,5.5,inland,Cloudy
31,69,10,16,clear,1027.38,8,Winter,10,mountain,Sunny
28,53,6,15,partly cloudy,1012.75,4,Winter,5.5,coastal,Cloudy
34,56,0.5,13,partly cloudy,1015.77,6,Winter,7.5,inland,Sunny
36,34,7,8,clear,1027.84,10,Summer,7,coastal,Sunny
19,73,18,90,partly cloudy,1013.57,5,Autumn,4.5,mountain,Sunny
17,37,15,60,overcast,1033.2,1,Winter,8,coastal,Snowy
14,76,16.5,96,partly cloudy,993.09,2,Winter,5,coastal,Rainy
22,76,6.5,44,overcast,1019.85,3,Winter,8,inland,Cloudy
31,52,12.5,17,overcast,1019.17,2,Winter,5.5,coastal,Cloudy
17,60,20,57,overcast,1000.27,1,Winter,3.5,inland,Rainy
23,44,6.5,1,clear,1028.61,7,Winter,5,inland,Sunny
35,68,6,8,clear,1021.45,10,Autumn,5.5,coastal,Sunny
-2,83,13.5,87,partly cloudy,981.97,0,Winter,1.5,mountain,Snowy
17,93,17.5,72,partly cloudy,992.79,2,Spring,4.5,coastal,Rainy
-7,90,0.5,90,overcast,985.69,0,Winter,1,inland,Snowy
0,73,18,86,overcast,981.78,1,Winter,0.5,inland,Snowy
20,64,5,45,overcast,1010.56,3,Winter,5.5,inland,Cloudy
49,51,3,13,cloudy,1071.61,14,Winter,18,inland,Rainy
-1,94,16.5,69,overcast,983.73,0,Winter,4.5,mountain,Snowy
45,96,7,92,clear,1011.26,4,Summer,3,inland,Sunny
27,72,5.5,56,cloudy,1091.74,4,Spring,11,inland,Rainy
2,94,9,75,overcast,996.06,1,Winter,2,mountain,Snowy
30,64,0.5,17,overcast,1007.7,4,Winter,6,inland,Cloudy
15,88,18,84,overcast,1012.23,1,Autumn,2.5,mountain,Rainy
-7,61,10.5,62,partly cloudy,998.17,1,Winter,4.5,mountain,Snowy
23,56,3.5,24,overcast,1000.82,2,Autumn,9,inland,Cloudy
32,53,9,17,overcast,1004.99,1,Winter,7.5,mountain,Cloudy
11,69,10,11,partly cloudy,1007.27,3,Winter,8.5,mountain,Cloudy
22,56,1,13,clear,1022.15,7,Spring,10,inland,Sunny
11,72,8.5,38,overcast,1006.98,3,Winter,8,inland,Cloudy
31,40,8.5,8,clear,1018.13,10,Autumn,8.5,coastal,Sunny
2,87,15,70,overcast,992.46,0,Winter,2.5,mountain,Snowy
21,60,9.5,15,partly cloudy,1002.17,2,Summer,7.5,mountain,Cloudy
27,71,13,25,overcast,1011.47,3,Autumn,6,mountain,Cloudy
19,53,6.5,17,overcast,1016.42,2,Autumn,7.5,mountain,Cloudy
29,53,11,11,overcast,1018.02,1,Winter,8.5,inland,Cloudy
9,105,24.5,77,overcast,1008.2,14,Summer,7,mountain,Cloudy
-4,87,6.5,54,overcast,991.88,0,Winter,2,mountain,Snowy
24,59,10.5,28,partly cloudy,1008.83,1,Summer,7,inland,Cloudy
-7,90,17.5,69,overcast,993.98,0,Winter,3,mountain,Snowy
21,46,9.5,7,clear,1025.29,5,Winter,6.5,coastal,Sunny
-2,87,4,87,overcast,998.4,1,Winter,3,mountain,Snowy
34,79,13.5,14,partly cloudy,1002.87,3,Summer,7.5,coastal,Cloudy
31,74,13.5,35,overcast,1004.01,4,Winter,7,inland,Cloudy
22,21,5,12,clear,1028.04,5,Autumn,7.5,coastal,Sunny
26,79,6.5,75,partly cloudy,1012.03,5,Summer,5,inland,Cloudy
31,75,8,80,partly cloudy,1026.17,9,Summer,8,mountain,Sunny
-2,76,2.5,79,overcast,994.27,1,Winter,4,mountain,Snowy
33,37,6.5,12,clear,1016.71,11,Spring,9.5,inland,Sunny
25,57,10,0,clear,1017.98,5,Winter,6.5,coastal,Sunny
76,94,15.5,103,overcast,1010.78,1,Summer,4,coastal,Rainy
27,85,9,76,overcast,1016.44,3,Spring,1.5,inland,Rainy
38,45,1.5,10,partly cloudy,1010.28,10,Summer,5,coastal,Sunny
39,68,7,14,clear,1010.04,10,Summer,10,coastal,Sunny
34,54,10,10,partly cloudy,1018.17,1,Autumn,7,inland,Cloudy
-6,96,18,62,partly cloudy,980.22,1,Winter,2,inland,Snowy
-7,96,15,81,overcast,981.53,0,Winter,4,mountain,Snowy
44,33,3.5,13,partly cloudy,1026.66,10,Summer,9.5,inland,Sunny
16,86,16,71,overcast,996.15,1,Winter,4.5,coastal,Rainy
22,71,12.5,84,partly cloudy,990.67,0,Autumn,3.5,mountain,Rainy
22,59,6.5,41,overcast,1015.79,1,Spring,8.5,inland,Cloudy
-5,72,34.5,92,overcast,996.3,8,Winter,2.5,mountain,Snowy
26,90,26,88,partly cloudy,998.97,4,Summer,2.5,coastal,Rainy
30,66,4,9,partly cloudy,1020.44,5,Winter,10,mountain,Sunny
26,20,8.5,7,clear,1016.15,6,Spring,8,coastal,Sunny
35,67,9.5,5,clear,1029.56,7,Autumn,7,coastal,Sunny
30,74,28,86,partly cloudy,1012.81,9,Summer,2,mountain,Cloudy
29,29,1,10,clear,1024.76,6,Spring,7.5,inland,Sunny
33,25,6,1,partly cloudy,1011.52,11,Spring,5.5,mountain,Sunny
38,36,6,2,clear,1027.34,9,Winter,7.5,mountain,Sunny
23,70,10.5,12,partly cloudy,1017.13,2,Spring,6.5,coastal,Cloudy
26,65,18.5,58,overcast,1018.62,1,Summer,4,coastal,Rainy
107,78,8.5,106,clear,1024.65,4,Winter,11,coastal,Sunny
17,60,9,80,overcast,991.92,3,Winter,2.5,coastal,Rainy
48,100,21,93,overcast,1002.43,12,Spring,2,coastal,Rainy
32,67,2.5,3,clear,1014.58,8,Autumn,6.5,coastal,Sunny
26,63,2.5,27,partly cloudy,1005.24,3,Spring,7,mountain,Cloudy
17,95,43.5,86,partly cloudy,1001.17,4,Winter,0.5,mountain,Rainy
18,95,14.5,92,overcast,991.4,2,Autumn,2.5,inland,Rainy
-10,94,14.5,88,partly cloudy,989.37,1,Winter,1,mountain,Snowy
-7,75,4,96,partly cloudy,980.04,0,Winter,4.5,mountain,Snowy
-4,60,19,75,overcast,996.27,0,Winter,1,inland,Snowy
23,78,8,19,partly cloudy,1001.22,2,Winter,7,coastal,Cloudy
31,71,17,57,overcast,1002.76,1,Autumn,2,mountain,Rainy
-7,73,4,65,overcast,989.71,0,Winter,3,mountain,Snowy
12,68,5.5,26,overcast,1009.16,3,Spring,8.5,coastal,Cloudy
18,96,5,59,overcast,995.52,0,Spring,3,mountain,Rainy
-6,70,12,90,overcast,986.25,1,Winter,4,inland,Snowy
35,55,0.5,13,clear,1021.43,11,Spring,5.5,mountain,Sunny
34,49,1,11,clear,1014.91,5,Spring,7.5,mountain,Sunny
2,78,11,65,overcast,998.54,0,Winter,4.5,mountain,Snowy
44,44,4,14,partly cloudy,1010.12,10,Winter,5.5,coastal,Sunny
32,89,18,60,overcast,991.38,1,Autumn,2.5,inland,Rainy
43,48,6.5,9,partly cloudy,1022.79,10,Summer,9.5,mountain,Sunny
43,69,3,17,partly cloudy,1018.13,10,Spring,7,coastal,Sunny
32,62,7.5,19,clear,1027.75,8,Autumn,6,inland,Sunny
15,59,1,32,partly cloudy,1019.56,1,Spring,8.5,inland,Cloudy
22,75,25,81,overcast,991.61,3,Winter,3,coastal,Rainy
26,72,9,39,overcast,1019.45,3,Summer,7,inland,Cloudy
42,33,5.5,19,partly cloudy,1028.78,8,Spring,6.5,inland,Sunny
33,95,4.5,79,partly cloudy,1010.1,14,Winter,10,coastal,Cloudy
-22,79,16,95,partly cloudy,985.57,1,Winter,4,inland,Snowy
32,54,13,26,partly cloudy,1015.9,1,Autumn,7,inland,Cloudy
33,31,9.5,56,partly cloudy,1062.27,0,Summer,16.5,coastal,Rainy
27,66,11.5,28,overcast,1003.18,1,Autumn,6,inland,Cloudy
13,75,7,16,overcast,1017.22,4,Winter,6,mountain,Cloudy
24,52,7,6,clear,1025.06,7,Summer,6,coastal,Sunny
26,25,6,2,clear,1022.75,9,Summer,9.5,inland,Sunny
-1,94,8.5,52,overcast,985.86,1,Winter,1,mountain,Snowy
21,91,12.5,81,partly cloudy,1000.03,3,Spring,2,coastal,Rainy
30,67,1,43,partly cloudy,1007.76,1,Autumn,8.5,mountain,Cloudy
34,42,2,3,partly cloudy,1024.53,11,Summer,10,coastal,Sunny
2,92,16.5,53,partly cloudy,987.92,1,Winter,1.5,mountain,Snowy
7,54,2.5,75,overcast,1177.22,3,Winter,7.5,mountain,Rainy
32,20,13,80,cloudy,1037.51,12,Spring,4,mountain,Snowy
15,59,11,24,partly cloudy,1006.94,1,Autumn,8,mountain,Cloudy
34,64,2,44,overcast,1005.61,2,Spring,7,coastal,Cloudy
30,78,14,34,overcast,1004.74,4,Spring,8.5,coastal,Cloudy
34,21,6.5,3,partly cloudy,1014.34,7,Autumn,5.5,mountain,Sunny
24,65,3,6,clear,1021.21,8,Autumn,8,coastal,Sunny
32,73,9,77,overcast,998.17,3,Winter,2.5,coastal,Rainy
-4,81,17.5,89,overcast,997.75,0,Winter,4,inland,Snowy
38,57,5,9,clear,1013.37,11,Spring,5,inland,Sunny
15,53,10.5,19,overcast,1011.26,1,Winter,5,inland,Cloudy
25,37,6.5,7,clear,1019.32,7,Autumn,6.5,coastal,Sunny
28,63,3,12,overcast,1019.8,3,Autumn,7.5,mountain,Cloudy
13,98,9,55,overcast,1001.88,1,Summer,3.5,coastal,Rainy
22,66,3,30,overcast,1003.22,2,Autumn,6.5,coastal,Cloudy
41,52,3,18,partly cloudy,1029.47,10,Summer,7.5,inland,Sunny
23,59,10.5,32,partly cloudy,1008.34,3,Winter,6.5,inland,Cloudy
13,78,11,24,overcast,1016.5,2,Autumn,7.5,mountain,Cloudy
30,87,10.5,85,partly cloudy,1013.72,0,Winter,2.5,mountain,Rainy
26,44,5.5,10,partly cloudy,1019.43,11,Winter,7,coastal,Sunny
12,60,14.5,80,overcast,1010.63,3,Summer,3,coastal,Rainy
-1,98,13,78,overcast,999.53,0,Winter,3,inland,Snowy
26,64,10.5,40,overcast,1015.27,3,Spring,6,mountain,Cloudy
35,51,3,7,clear,1025.7,9,Autumn,9,inland,Sunny
1,85,8,96,overcast,990.21,0,Winter,4.5,inland,Snowy
26,50,10,9,partly cloudy,1028.41,10,Summer,5,inland,Sunny
42,41,9,9,clear,1015.33,11,Winter,8.5,coastal,Sunny
22,94,13,97,overcast,1000.85,1,Spring,1,mountain,Rainy
27,79,21,102,overcast,1012.82,12,Summer,2.5,inland,Rainy
-9,69,3,90,overcast,986.24,0,Winter,1.5,mountain,Snowy
32,81,10.5,53,overcast,1014.18,3,Winter,4,inland,Rainy
19,95,17.5,53,overcast,1001.25,2,Spring,3,mountain,Rainy
28,48,5,4,partly cloudy,1026.54,10,Summer,8.5,mountain,Sunny
18,60,5.5,23,partly cloudy,1012.11,2,Autumn,6,inland,Cloudy
14,62,15,28,overcast,1000.67,2,Spring,8.5,mountain,Cloudy
26,54,2.5,3,clear,1014.16,11,Autumn,6.5,mountain,Sunny
37,68,2,8,partly cloudy,1024.28,5,Winter,8.5,mountain,Sunny
27,36,0.5,76,overcast,1187.92,10,Winter,5,coastal,Cloudy
1,64,2,61,overcast,982.34,1,Winter,4.5,mountain,Snowy
-1,76,13.5,60,overcast,993.26,1,Winter,3,inland,Snowy
3,66,2.5,54,partly cloudy,983.49,0,Winter,4,mountain,Snowy
-7,67,13.5,89,overcast,988.88,0,Winter,2.5,mountain,Snowy
10,72,11.5,90,overcast,1007.97,3,Spring,3,mountain,Rainy
20,79,3.5,17,partly cloudy,1014.81,3,Winter,8,mountain,Cloudy
32,77,12.5,87,partly cloudy,1023.85,10,Spring,1,mountain,Sunny
21,69,6,45,overcast,1016.53,1,Winter,7.5,inland,Cloudy
21,65,9.5,12,clear,1018.91,11,Summer,9,coastal,Sunny
6,98,9.5,86,overcast,994.28,7,Winter,5,inland,Snowy
1,87,5.5,66,overcast,983.9,1,Winter,2,inland,Snowy
32,60,2.5,0,clear,1020.69,10,Spring,9,inland,Sunny
4,74,7,62,overcast,999.73,0,Winter,3,mountain,Snowy
-6,21,3,29,cloudy,979.31,7,Spring,6.5,coastal,Cloudy
30,21,7.5,1,clear,1011.23,9,Winter,6,coastal,Sunny
-10,92,1,88,partly cloudy,997.89,1,Winter,3,inland,Snowy
29,33,4.5,4,clear,1012.76,8,Spring,10,coastal,Sunny
29,60,7.5,99,partly cloudy,1013.75,2,Spring,2,mountain,Rainy
19,61,17.5,65,partly cloudy,1013.25,0,Winter,1.5,coastal,Rainy
20,71,11.5,53,overcast,991,1,Spring,4,inland,Rainy
17,79,14,31,partly cloudy,1013.39,3,Winter,5,coastal,Cloudy
17,52,2,32,partly cloudy,1017.72,3,Summer,6,coastal,Cloudy
25,76,10.5,23,partly cloudy,1139.41,1,Summer,3,mountain,Sunny
31,63,8,7,clear,1029.85,8,Summer,10,mountain,Sunny
31,73,13,88,partly cloudy,995.68,2,Spring,1.5,coastal,Rainy
24,56,1.5,40,overcast,1018.87,2,Autumn,7.5,inland,Cloudy
12,42,3,43,partly cloudy,1183.87,5,Autumn,12.5,coastal,Cloudy
29,81,17.5,85,clear,1026.36,0,Winter,5.5,coastal,Sunny
1,71,11,66,overcast,990.72,1,Winter,2,inland,Snowy
27,44,2.5,1,partly cloudy,1021.08,8,Winter,6.5,coastal,Sunny
-9,69,1.5,79,partly cloudy,999.75,1,Winter,4.5,mountain,Snowy
1,70,3.5,62,overcast,986.83,1,Winter,4.5,mountain,Snowy
25,38,1.5,6,clear,1027.56,5,Autumn,8.5,inland,Sunny
15,53,6.5,37,partly cloudy,1001.53,1,Autumn,8,mountain,Cloudy
43,38,9,2,clear,1020.12,6,Spring,8,mountain,Sunny
-7,87,0,98,overcast,996.15,1,Winter,4,mountain,Snowy
0,67,8.5,54,overcast,989.27,1,Winter,5,mountain,Snowy
48,62,7.5,85,overcast,989.81,14,Spring,1,coastal,Cloudy
31,64,15,81,overcast,1002.87,3,Winter,2,mountain,Rainy
-2,91,0.5,81,partly cloudy,994.24,0,Winter,3.5,mountain,Snowy
26,34,0.5,13,clear,1022.11,5,Spring,8.5,inland,Sunny
64,70,15.5,86,overcast,1019,3,Autumn,2,coastal,Cloudy
30,72,13,91,partly cloudy,1003.36,1,Spring,4,inland,Rainy
-7,95,16.5,93,overcast,982.11,1,Winter,4,mountain,Snowy
-1,88,3,82,overcast,985.51,1,Winter,3,mountain,Snowy
30,63,0.5,8,partly cloudy,1025.08,5,Summer,6.5,inland,Sunny
29,105,16.5,71,partly cloudy,1005,9,Summer,0.5,coastal,Rainy
43,50,2.5,2,partly cloudy,1016.92,5,Summer,8,inland,Sunny
21,96,34.5,86,partly cloudy,1001.73,2,Spring,2.5,inland,Cloudy
13,58,7.5,37,partly cloudy,1005.43,1,Autumn,5.5,coastal,Cloudy
12,69,9,26,overcast,1012.21,3,Summer,7,coastal,Cloudy
0,86,10.5,88,overcast,996.32,1,Winter,4.5,inland,Snowy
39,54,1.5,17,clear,1016.75,9,Spring,5.5,mountain,Sunny
29,58,11.5,16,partly cloudy,1006.68,3,Summer,7.5,mountain,Cloudy
24,58,1.5,9,clear,1014.18,5,Winter,6.5,mountain,Sunny
-6,70,13,54,overcast,999.24,0,Winter,2,inland,Snowy
61,93,21.5,108,overcast,1007.88,13,Summer,11,coastal,Cloudy
-2,82,5,83,overcast,991.11,1,Winter,4,mountain,Snowy
30,34,9.5,5,clear,1021.16,11,Spring,6.5,inland,Sunny
-4,65,18.5,96,overcast,991.44,0,Winter,2,mountain,Snowy
23,78,1,29,partly cloudy,1013.57,2,Autumn,6,coastal,Cloudy
22,50,0.5,6,clear,1025.16,8,Summer,5.5,coastal,Sunny
18,80,8.5,64,overcast,992.99,0,Winter,1.5,coastal,Rainy
13,67,12.5,11,cloudy,1157.23,4,Autumn,5.5,coastal,Rainy
24,102,13,97,overcast,1010.48,12,Autumn,0.5,inland,Rainy
45,96,11,103,clear,1027.44,0,Spring,2,mountain,Sunny
19,65,7.5,49,partly cloudy,1002.71,3,Spring,7,inland,Cloudy
12,78,6.5,59,partly cloudy,1016.88,3,Winter,1.5,mountain,Rainy
-6,67,17,73,overcast,993.6,1,Winter,5,mountain,Snowy
35,60,7.5,13,clear,1012.28,9,Spring,9,inland,Sunny
0,22,12,30,cloudy,1157.78,12,Summer,2.5,mountain,Rainy
32,63,2,12,clear,1021.42,9,Winter,7,mountain,Sunny
2,78,1,63,overcast,985.11,0,Winter,1,inland,Snowy
49,79,6.5,91,clear,1022.05,9,Autumn,4,inland,Sunny
-6,99,2.5,83,partly cloudy,985.79,1,Winter,3,mountain,Snowy
34,60,5,18,clear,1027.04,6,Winter,9.5,inland,Sunny
29,78,20,84,partly cloudy,1005.19,14,Spring,5.5,inland,Cloudy
-7,62,14.5,86,overcast,994.65,1,Winter,1,inland,Snowy
55,106,4.5,82,partly cloudy,1004.59,6,Autumn,11.5,inland,Cloudy
27,62,6,79,overcast,1019.79,2,Summer,5,inland,Rainy
25,39,10.5,48,overcast,992.95,0,Spring,10,mountain,Cloudy
19,70,11.5,106,clear,1022.51,10,Winter,6.5,inland,Sunny
-2,85,16,79,overcast,987.44,1,Winter,2.5,mountain,Snowy
-5,93,3,60,partly cloudy,988.88,0,Winter,4,mountain,Snowy
10,100,0.5,101,clear,1014.57,11,Autumn,6.5,mountain,Sunny
38,50,9.5,98,overcast,927.26,5,Spring,7.5,coastal,Rainy
36,76,22.5,91,partly cloudy,1009.65,11,Spring,4,coastal,Cloudy
40,58,11.5,23,partly cloudy,871.23,7,Summer,11.5,mountain,Cloudy
-6,63,10,99,partly cloudy,994.16,1,Winter,4.5,mountain,Snowy
-7,80,3,89,overcast,997.69,1,Winter,1,inland,Snowy
27,59,11.5,31,partly cloudy,1010.08,1,Spring,9,mountain,Cloudy
31,22,3,12,clear,1026.64,11,Winter,8,coastal,Sunny
33,73,11,55,overcast,1002.33,0,Summer,3,mountain,Rainy
19,98,8.5,62,overcast,1006.64,2,Autumn,2,coastal,Rainy
45,105,12.5,74,overcast,1000.3,8,Autumn,6.5,mountain,Cloudy
34,67,2,18,partly cloudy,1012.39,1,Winter,7.5,mountain,Cloudy
7,49,8,31,cloudy,1160.72,3,Autumn,17,coastal,Cloudy
28,58,11.5,22,partly cloudy,1012.19,1,Winter,9,inland,Cloudy
43,42,0,11,partly cloudy,1017.33,10,Summer,7,mountain,Sunny
31,53,11.5,23,overcast,1001.6,2,Summer,8.5,mountain,Cloudy
20,32,6,4,partly cloudy,1023.03,9,Spring,8.5,inland,Sunny
33,68,18,56,partly cloudy,1005.55,3,Summer,2.5,coastal,Rainy
1,40,13.5,68,cloudy,1035.1,0,Summer,10.5,coastal,Rainy
10,73,10,24,overcast,1011.49,4,Autumn,9,coastal,Cloudy
16,65,0,33,overcast,1015.29,1,Summer,6,mountain,Cloudy
15,98,14.5,78,overcast,1002.19,3,Autumn,3.5,mountain,Rainy
24,75,19.5,106,partly cloudy,1008.12,14,Summer,5,coastal,Cloudy
-8,66,4,75,overcast,981.63,0,Winter,2,mountain,Snowy
68,88,2,109,partly cloudy,1007.35,2,Winter,2,mountain,Cloudy
-8,92,19,94,overcast,988.29,1,Winter,4,mountain,Snowy
26,80,19,84,overcast,1002.79,2,Summer,4,mountain,Rainy
17,67,13,39,overcast,1005.86,3,Spring,6.5,inland,Cloudy
43,85,13.5,106,clear,1024.66,7,Spring,6,inland,Sunny
17,78,6.5,68,overcast,997.11,0,Winter,1.5,coastal,Rainy
30,74,15,87,partly cloudy,1004.16,1,Summer,2,inland,Rainy
12,50,3.5,32,partly cloudy,1007.37,2,Winter,7,inland,Cloudy
-1,99,17,57,overcast,995.75,1,Winter,3,mountain,Snowy
14,106,12.5,89,clear,1027.13,5,Summer,7.5,coastal,Sunny
44,49,10,5,partly cloudy,1010.38,10,Spring,10,mountain,Sunny
13,76,2,29,cloudy,817.57,11,Spring,4,mountain,Rainy
20,60,7.5,13,overcast,1006.84,1,Winter,5,inland,Cloudy
-4,35,8,98,cloudy,897.25,9,Winter,0,mountain,Snowy
10,81,14.5,63,overcast,1019.82,0,Summer,4.5,mountain,Rainy
43,49,8.5,9,partly cloudy,1024.98,7,Autumn,8.5,mountain,Sunny
32,79,5,48,overcast,1130.56,13,Summer,16,mountain,Sunny
31,35,3.5,1,clear,1021.01,8,Autumn,6.5,inland,Sunny
14,60,12.5,71,overcast,1001.28,1,Autumn,2,coastal,Rainy
-1,84,14.5,88,overcast,983.67,1,Winter,3.5,mountain,Snowy
34,77,11.5,75,overcast,1003.73,1,Spring,5,inland,Rainy
1,94,7,96,overcast,998.51,1,Winter,1.5,mountain,Snowy
44,109,45.5,107,overcast,1005,14,Autumn,1,mountain,Rainy
1,99,0.5,84,partly cloudy,980.34,0,Winter,1,mountain,Snowy
16,76,9,66,overcast,992.65,1,Summer,1,coastal,Rainy
28,20,8.5,19,clear,1029.12,8,Winter,5.5,coastal,Sunny
33,23,2.5,15,clear,1018.12,7,Spring,8,inland,Sunny
-2,61,7,92,overcast,997.44,0,Winter,5,mountain,Snowy
26,73,7.5,47,overcast,1017.02,3,Summer,6,mountain,Cloudy
11,64,7.5,58,partly cloudy,984.15,0,Winter,0.5,inland,Sunny
52,93,13,75,overcast,992.09,6,Summer,2,mountain,Rainy
2,74,19,56,overcast,980.76,0,Winter,3.5,mountain,Snowy
-17,104,10,87,overcast,984.98,4,Winter,1,inland,Snowy
40,96,11.5,95,partly cloudy,1005.06,10,Spring,7,inland,Cloudy
22,51,2,9,clear,1017.16,5,Spring,6,inland,Sunny
32,56,10,15,clear,1010.91,5,Summer,7.5,coastal,Sunny
26,62,7.5,75,overcast,1002.12,2,Summer,5,inland,Rainy
